,source,target,value
4,Committee on Committees and Rules,Committee on Budget and Government Operations,2
5,Committee on Committees and Rules,Committee on Finance,1
6,Committee on Committees and Rules,Committee on Housing and Real Estate,1
7,Committee on Committees and Rules,Committee on License and Consumer Protection,9
8,Committee on Committees and Rules,Committee on Pedestrian and Traffic Safety,1
9,Committee on Committees and Rules,Committee on Public Safety,1
10,Committee on Committees and Rules,Committee on Transportation and Public Way,5
11,Committee on Committees and Rules,Committee on Workforce Development,1
12,Committee on Committees and Rules,Deferred and Published,1
13,Committee on Committees and Rules,Failed to Pass,1
14,Committee on Committees and Rules,Introduced,4
15,Committee on Committees and Rules,"Joint Committee: Zoning, Landmarks and Building Standards; License and Consumer Protection",1
16,Committee on Committees and Rules,Passed,10
17,Committee on Committees and Rules,Re-Referred,9
